Accession.Number,Genes,Protein.Description,Gan_b4_1,Gan_b4_2,Gan_b4_3,Gan_b4_4,Gan_b4_5,Gan_b4_6,Gan_b4_7,Gan_b4_8,Gan_b4_9,Gan_b4_10,Gan_b4_11,Gan_b4_12,Gan_b4_13,Gan_b4_15,Gan_b4_16,Gan_b4_17,Gan_b4_18
Q9NV92,NDFIP2,NEDD4 family-interacting protein 2 OS=Homo sapiens OX=9606 GN=NDFIP2 PE=1 SV=2,288321.8704,299627.5081,298366.8731,307219.5958,309042.0528,249469.931,261562.8187,299518.9724,414811.5961,284140.5255,322657.1399,316152.1149,293407.9589,281587.3415,240070.3411,223737.6648,249045.7084
Q14498,RBM39,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,529329.5043,538429.6548,510366.1323,507716.82,553056.4224,552733.3876,488744.7687,511447.9256,447272.0774,551053.7438,483173.9268,488125.6352,519586.8345,502698.4726,508570.7787,470850.9859,514198.8097
P26641,EEF1G,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,990862.4513,921286.2847,962594.3101,952295.6915,961955.4327,973687.7089,1040982.608,986924.4509,1037687.424,925468.2815,1040056.379,952310.7712,996014.8489,958846.2742,989995.087,1064714.509,1058149.679
Q9Y2B5,VPS9D1,VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VPS9D1 PE=1 SV=2,47184.41366,40867.9423,39074.44171,40783.42803,39685.17797,42591.12124,39849.01574,41676.49929,43385.68043,37074.97643,40011.91421,32819.43837,38334.37054,36483.66276,38606.51024,39976.04786,33554.75028
P53618,COPB1,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,426787.569,434463.8799,416931.8658,419235.3588,431541.0229,452199.9619,450917.2355,425462.4974,438945.6191,401320.2643,385751.9903,421448.5811,417810.5264,451886.7374,476041.898,479066.6803,483443.3018
Q9NVA2,SEPTIN11,Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3,655810.275,645158.0577,696032.2486,682396.0144,635225.0498,652887.1969,686956.3353,717435.1302,743141.5119,667813.1632,794795.3795,680342.1277,691986.4655,750195.3084,689377.6233,773670.1973,728200.5374
Q9H2M9,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP2 PE=1 SV=1,210775.5247,195289.0685,195783.0863,199573.7791,208650.7925,211575.5285,211429.2927,201886.8266,200522.3283,188476.9869,205358.489,179241.5125,195875.6308,198594.386,209771.8449,211915.1294,213195.587
Q9P1Y5,CAMSAP3,Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens OX=9606 GN=CAMSAP3 PE=1 SV=2,217509.2628,209372.0583,229578.7809,234257.8024,205556.5332,194899.769,192987.5709,209469.2563,207465.2928,189484.068,280421.5418,212138.4225,209532.6687,203824.2993,176495.7374,210333.4202,180259.9094
P08559,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",629578.6775,612698.9953,600365.5731,614321.2062,626110.8211,614160.7737,580117.2084,567772.6462,511330.7437,671594.8492,602221.542,601175.1187,639605.7597,549659.7297,613862.7405,558762.5328,598055.3391
Q99733,NAP1L4,Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,499941.0048,484209.8712,492444.257,508441.9281,464959.6334,470146.5726,491896.4559,514877.6657,547912.0473,522917.0952,583629.7279,533021.2852,541516.336,583263.4822,563728.6715,582974.559,548242.0553
Q8N1S5,SLC39A11,Zinc transporter ZIP11 OS=Homo sapiens OX=9606 GN=SLC39A11 PE=2 SV=3,458085.3058,498329.0077,432781.2362,510966.5858,532509.9142,446023.5158,394179.0142,343872.2973,,545239.8489,428105.1143,470078.1589,555215.5467,415283.075,430632.6153,,399310.7275
P49006,MARCKSL1,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,1508044.374,1629214.981,1482195.752,1589496.54,1239700.164,901072.7224,961368.0651,1211001.138,1508999.817,1203066.796,1702349.449,1908602.405,1556266.174,1369894.224,878382.9254,1079200.219,996814.9499
Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,513059.0748,525603.6796,506414.8587,499914.8596,524296.6456,517248.281,491073.9352,486200.1558,457998.261,551415.6985,505157.8741,482412.1842,521822.1975,489464.3416,497895.1926,487848.0885,491092.3726
Q5SQI0,ATAT1,Alpha-tubulin N-acetyltransferase 1 OS=Homo sapiens OX=9606 GN=ATAT1 PE=1 SV=1,722280.3019,681022.0737,692185.4499,667964.1366,644616.7205,672894.3747,736166.1355,692169.7083,778004.007,684749.3662,784667.4885,719103.9331,739799.9052,740059.5457,706594.5984,759712.3007,730552.425
P19404,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV2 PE=1 SV=2",660922.9168,649158.8027,678651.8887,683349.4716,661559.3183,629237.2682,613156.6428,588778.1899,572053.8876,685532.4748,702370.0076,643666.0318,660581.6964,554689.5267,541893.5013,564475.4514,555037.7281
Q9UBF2,COPG2,Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,470731.6104,474670.9505,456717.6694,473575.4505,470277.4466,497202.6965,496176.1192,479917.6145,463391.9222,473337.7254,457022.5102,468902.4592,481759.6385,511724.5969,504528.412,496000.1977,515773.693
P54802,NAGLU,Alpha-N-acetylglucosaminidase OS=Homo sapiens OX=9606 GN=NAGLU PE=1 SV=2,318697.028,327408.6541,320042.4224,340030.1822,343092.9047,359012.1178,344461.3918,326466.8602,310507.2126,292155.6319,267643.5705,294900.5229,274729.9889,271824.081,308328.2138,304288.4851,321041.6455
Q96PY5,FMNL2,Formin-like protein 2 OS=Homo sapiens OX=9606 GN=FMNL2 PE=1 SV=3,209478.2911,215524.7035,195364.6522,207228.9483,200439.1431,210213.8436,216420.9363,219890.9869,227211.6455,215108.1536,238249.7723,211978.2479,213177.9329,221758.7308,239838.879,255809.5972,241946.1573
O00468,AGRN,Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6,235058.803,231134.8537,223289.9433,228019.0342,257952.4708,478294.924,497593.3226,514574.921,486462.6651,239975.3998,228845.4798,205616.0881,206512.2218,487984.2554,433645.3623,508209.1941,454262.6737
B1ALY0,PALM2AKAP2,PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1,156099.7201,156023.4593,148650.9384,161921.8884,150194.1286,110329.633,133565.7803,171281.0044,163350.5889,128570.7625,220145.9015,188782.4963,159563.2369,114286.8849,59894.20031,131470.9587,99936.37551
P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",432787.7638,432358.0394,430901.7643,425715.8886,421438.8227,456669.9708,462205.2143,450381.8863,478241.9603,435564.2438,425762.8066,427867.8668,452159.8542,511254.3154,505764.5767,492295.0524,498175.9759
Q9H7E9,C8orf33,UPF0488 protein C8orf33 OS=Homo sapiens OX=9606 GN=C8orf33 PE=1 SV=1,192259.8383,202919.2475,151893.6271,190097.0588,194962.9385,186876.5688,199712.0157,208649.0202,191159.6512,211063.0283,223124.2463,154698.4134,213890.3939,174680.6816,186704.7259,178670.1022,186409.644
Q9BUH6,PAXX,Protein PAXX OS=Homo sapiens OX=9606 GN=PAXX PE=1 SV=2,157629.1988,145915.1326,137211.9483,125830.9895,133813.8699,167506.4804,156540.3679,129138.9168,159892.7318,108114.5712,107214.4823,122323.0026,104201.7174,141462.0517,128028.4167,159642.2675,131597.6029
A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8,HDLBP,High density lipoprotein binding protein OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1,258818.5157,268326.8921,292065.2367,267721.7566,298448.1096,235069.7994,240314.7525,251405.9415,263374.061,247815.1847,296698.5406,227596.2947,257703.2266,177519.1224,190214.8816,232389.1988,199682.387
I3L3Q4,GLOD4,Glyoxalase domain containing 4 (Fragment) OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,71162.56195,103590.3307,112928.2834,98910.51095,84401.82682,48959.49239,65370.77542,92920.71823,103456.6847,82018.54243,148624.4165,124323.5427,95324.30949,122282.0074,55503.57852,60970.46506,62802.83695
O95359,TACC2,Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens OX=9606 GN=TACC2 PE=1 SV=3,119716.234,131089.1163,135536.6182,132930.2076,119680.5023,105063.1704,131922.1746,114859.6201,151691.8826,109203.6275,159449.7362,122491.953,118496.7401,116676.217,88152.92959,114915.8008,105095.4879
Q05086,UBE3A,Ubiquitin-protein ligase E3A OS=Homo sapiens OX=9606 GN=UBE3A PE=1 SV=4,269021.1595,259964.3341,271046.68,267147.8674,268405.8239,265516.0534,270114.9696,273471.431,271601.6305,237010.4353,253270.8166,245023.2753,261943.8174,266734.5679,254618.5723,265256.0222,271935.0927
Q9H019,MTFR1L,Mitochondrial fission regulator 1-like OS=Homo sapiens OX=9606 GN=MTFR1L PE=1 SV=2,275966.2416,286583.6741,274002.3612,287751.3128,246018.6047,230344.1064,245752.8658,246372.3725,280441.5066,280579.9503,329487.9503,301753.5692,317441.0264,275803.6311,242552.0025,259435.7959,262133.0271
Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens OX=9606 GN=GRHPR PE=1 SV=1,466717.7999,463487.3458,481698.8052,462455.6354,469263.7052,492456.5452,487693.7219,477311.6007,479854.7205,437449.2003,422972.5418,422805.8419,448565.3605,487707.7222,489796.6123,490211.5175,496097.9104
Q8N1B4,VPS52,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens OX=9606 GN=VPS52 PE=1 SV=1,152613.7828,160507.2485,175293.1804,158947.0208,164181.8195,160379.4627,170072.9395,173986.7674,185003.6392,148762.5606,165443.3972,170868.3843,156665.1827,173494.1034,167650.1502,162295.0362,170759.3701
P55060,CSE1L,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,433277.3246,447720.1085,430419.9521,428740.2923,462526.851,468850.0725,440565.0194,428419.1757,401262.8728,420659.0334,367316.8976,395529.6208,406620.9352,413823.4487,450347.1965,414430.6964,450607.2296
Q9H9Z2,LIN28A,Protein lin-28 homolog A OS=Homo sapiens OX=9606 GN=LIN28A PE=1 SV=1,1083822.097,1094383.403,1032610.638,1079205.87,1190108.635,1143786.843,956913.3919,958907.9265,743066.0475,1168778.833,843781.3531,841614.0945,1073139.179,825178.7764,1041096.797,856401.1367,990869.0173
Q96JM2,ZNF462,Zinc finger protein 462 OS=Homo sapiens OX=9606 GN=ZNF462 PE=1 SV=3,90633.57959,107316.7928,99670.76216,85399.30006,99640.26375,94484.13967,76140.59086,89630.13505,80277.62166,113459.6671,142111.0882,100548.0195,110308.1296,80619.93083,99939.92951,98031.85792,108143.9049
O75061,DNAJC6,Putative tyrosine-protein phosphatase auxilin OS=Homo sapiens OX=9606 GN=DNAJC6 PE=1 SV=3,359416.2769,308984.1054,348488.887,358005.4427,317730.9492,286009.786,319919.0186,358853.333,387125.5052,283328.3008,391621.5949,342161.6598,302161.2779,331898.7085,264879.6603,350232.9964,309563.0696
P51452,DUSP3,Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1,561859.7235,545704.169,555916.395,539683.7397,545853.9155,523945.5755,521068.66,553678.373,555848.7753,513194.6553,517391.3073,462022.7657,503559.5088,506065.5336,490274.2227,472840.3523,501483.4103
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1,2213093.571,2279537.584,2278474.139,2279752.173,2373054.05,2333711.199,2308574.397,2182697.908,2134407.159,2302446.423,2191561.464,2440687.404,2161639.969,2297334.193,2437422.361,2467279.053,2344877.483
Q13144,EIF2B5,Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3,213818.836,201748.7627,204277.2094,202385.7503,200119.7882,207689.3467,184812.9403,190487.2823,196745.923,162242.0212,154646.2136,168226.0278,176964.9199,186802.6467,182459.695,171435.5754,189743.4009
O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2,283764.9694,294257.5517,282546.1832,286365.155,307901.4775,318751.005,313233.7985,318980.6844,313372.5617,316676.018,303233.1249,300549.9324,308238.7682,302547.62,349047.5138,299294.7818,299845.2567
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,724595.8965,671620.3063,705273.5722,680956.1034,680201.3341,728122.6057,783066.9291,731091.8609,772302.3228,612864.4643,686062.0217,664507.0546,642312.0715,746585.4852,696485.1006,777784.1259,757820.1604
P98194,ATP2C1,Calcium-transporting ATPase type 2C member 1 OS=Homo sapiens OX=9606 GN=ATP2C1 PE=1 SV=3,253684.8897,260240.5453,257206.1289,272541.7067,245955.4137,253086.6274,251803.8524,263893.7423,291843.3794,251272.6896,283260.557,258253.6556,245535.6673,252161.2157,217613.6676,240600.2598,221496.7669
Q12888,TP53BP1,TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2,335800.0734,359938.8282,364820.1209,367473.6045,349597.7599,265033.1875,280592.1301,306004.476,311143.4791,382330.8528,395217.2303,404603.3361,370792.4017,298723.5434,245614.88,275536.7334,266165.7928
Q8NBX0,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens OX=9606 GN=SCCPDH PE=1 SV=1,548135.2271,524680.1011,517149.8472,528314.703,547414.6408,522671.0999,530338.5425,492398.2794,498198.0935,596223.9487,567514.2136,574117.1035,583003.4176,529035.2288,546331.8742,537437.6083,510885.5074
Q9H0R6,QRSL1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",160135.3596,158496.2609,158722.2751,165619.2256,154881.0744,153726.2737,150572.6477,157623.5092,138603.2586,171861.999,148631.4296,162193.3771,162428.5279,140244.8652,153180.3437,146910.9769,145101.5128
P78362,SRPK2,SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3,216400.9617,224063.1518,238206.6774,220910.4369,207903.389,197415.8919,203774.8975,213582.1198,232702.7243,209084.7472,236476.885,195541.2731,204796.7102,209154.3691,207462.4196,203224.1418,197595.1122
O95782,AP2A1,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,539861.4309,508774.8321,524438.5455,539866.1552,484879.522,508998.8125,567880.1723,547999.3267,595223.8152,485569.1351,588577.7604,539525.6017,509368.1933,562502.4482,488704.658,578251.048,513667.1863
Q15293,RCN1,Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,278276.6254,269601.7564,273048.4137,260591.3553,259446.8411,281708.8409,258600.139,262739.4609,257398.5222,283617.4375,216056.8596,305912.0307,238660.5737,244063.2693,271762.9079,258456.105,253256.1512
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=BCAT2 PE=1 SV=2",401637.8574,408817.6081,391158.683,402675.0684,418364.7414,412950.2676,396713.0787,383159.7508,357334.7762,437082.9648,390999.3477,405079.3427,410397.7611,364097.273,405680.079,399406.3571,408249.0689
P35612,ADD2,Beta-adducin OS=Homo sapiens OX=9606 GN=ADD2 PE=1 SV=3,662602.4558,639063.5931,663485.4511,682805.342,639710.9732,624535.4937,690730.7234,658113.1073,689851.8515,601013.4952,754510.3654,686245.37,637868.1818,611242.8993,578985.2321,675924.4145,620552.5861
Q9UPZ6,THSD7A,Thrombospondin type-1 domain-containing protein 7A OS=Homo sapiens OX=9606 GN=THSD7A PE=1 SV=4,100248.4333,95429.76702,106336.5294,93843.22512,98545.28259,171839.229,193296.4746,183209.4082,216169.8285,94622.35715,134219.5654,113813.1448,94621.2484,215606.2464,166535.3885,190305.172,159426.8619
Q9UBV2,SEL1L,Protein sel-1 homolog 1 OS=Homo sapiens OX=9606 GN=SEL1L PE=1 SV=3,239520.1028,251511.743,258532.523,276482.6031,268560.9184,279815.1179,268192.8983,267157.5688,252151.8658,276734.5733,283216.363,280586.2516,261362.7647,261818.9608,266618.8625,257596.5034,261474.17
P67809,YBX1,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,447075.0144,436372.3122,446396.7197,471186.9117,383794.0261,315261.8098,361824.2971,419936.7346,508029.9287,330543.2355,582507.692,465840.6948,387805.4627,368910.7106,254920.0309,334043.8124,290737.8658
